NU_INSCRICAO,NO_MUNICIPIO_PROVA,TP_ESCOLA,NU_NOTA_MT,NU_NOTA_REDACAO
2964227,Assis,2,699.4,680.0
1118269,Assis,2,425.4,540.0
766064,Assis,2,432.6,760.0
1125189,Assis,2,388.7,740.0
3370433,Assis,3,444.1,760.0
3083291,Assis,2,382.8,480.0
1061879,Assis,2,494.5,560.0
1168291,Assis,2,634.5,800.0
1933815,Assis,2,473.0,540.0
2830597,Assis,2,393.7,600.0
659508,Assis,2,632.1,740.0
1491211,Assis,2,591.2,600.0
3195568,Assis,2,661.9,860.0
2027050,Assis,2,532.0,460.0
1654942,Assis,2,527.2,840.0
2561942,Assis,3,697.7,900.0
718709,Assis,2,443.6,620.0
2025149,Assis,2,545.8,720.0
903475,Assis,2,432.9,940.0
2825502,Assis,2,549.9,640.0
239457,Assis,3,576.5,820.0
702300,Assis,2,519.0,600.0
3541685,Assis,3,694.7,880.0
1296680,Assis,2,377.2,340.0
2005096,Assis,2,715.8,920.0
2154903,Assis,2,423.9,680.0
1889172,Assis,2,504.3,540.0
4001,Assis,2,456.9,740.0
1516906,Assis,2,402.2,560.0
1034384,Assis,3,726.1,780.0
3328349,Assis,2,612.2,580.0
1511,Assis,2,673.2,860.0
982683,Assis,3,618.8,880.0
781366,Assis,3,628.2,640.0
2651123,Assis,3,722.2,880.0
3453451,Assis,3,546.7,640.0
2468921,Assis,3,737.6,680.0
3349244,Assis,2,529.6,740.0
72328,Assis,2,568.8,900.0
2839787,Assis,3,596.7,880.0
724428,Assis,2,408.8,580.0
2123249,Assis,2,536.0,640.0
2532061,Assis,2,561.0,620.0
1814985,Assis,2,484.2,620.0
1459648,Assis,3,604.9,880.0
2056506,Assis,2,568.0,580.0
2081518,Assis,2,782.8,800.0
1075955,Assis,2,429.9,620.0
646193,Assis,3,575.5,900.0
1170951,Assis,2,526.9,800.0
2711042,Assis,2,389.5,0.0
368581,Assis,2,379.3,640.0
3074628,Assis,3,702.9,680.0
3247454,Assis,2,497.5,780.0
1043633,Assis,2,637.8,540.0
1929855,Assis,2,591.0,440.0
59127,Assis,2,570.4,860.0
3303272,Assis,3,483.9,840.0
174399,Assis,2,493.5,760.0
3013593,Assis,2,542.8,580.0
3294329,Assis,2,539.1,500.0
483634,Assis,2,633.7,920.0
722938,Assis,2,480.6,660.0
3088980,Assis,2,613.7,620.0
3199947,Assis,3,545.4,680.0
1149921,Assis,2,486.5,760.0
21343,Assis,2,491.4,800.0
1881601,Assis,2,691.1,780.0
172872,Assis,2,399.5,720.0
1578772,Assis,2,411.4,360.0
1951184,Assis,2,429.1,520.0
3576761,Assis,2,435.0,620.0
